date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 14:37:47, 100, 234
2023-07-08, 14:37:48, 80, 249
2023-07-08, 14:37:49, 81, 242
2023-07-08, 14:37:50, 82, 245
2023-07-08, 14:37:51, 83, 243
2023-07-08, 14:37:52, 80, 239
2023-07-08, 14:37:53, 80, 235
2023-07-08, 14:37:54, 80, 235
2023-07-08, 14:37:55, 83, 236
2023-07-08, 14:37:56, 80, 234
2023-07-08, 14:37:57, 81, 234
2023-07-08, 14:37:58, 80, 235
2023-07-08, 14:37:59, 81, 234
2023-07-08, 14:38:00, 82, 237
2023-07-08, 14:38:01, 81, 235
2023-07-08, 14:38:02, 82, 237
2023-07-08, 14:38:03, 93, 234
2023-07-08, 14:38:04, 84, 237
2023-07-08, 14:38:05, 84, 235
2023-07-08, 14:38:07, 178, 326
2023-07-08, 14:38:08, 80, 237
2023-07-08, 14:38:09, 81, 234
2023-07-08, 14:38:10, 82, 234
2023-07-08, 14:38:11, 81, 251
2023-07-08, 14:38:12, 81, 249
2023-07-08, 14:38:13, 82, 246
2023-07-08, 14:38:14, 80, 236
2023-07-08, 14:38:15, 82, 235
2023-07-08, 14:38:16, 82, 233
2023-07-08, 14:38:17, 81, 234
2023-07-08, 14:38:18, 82, 233
2023-07-08, 14:38:19, 82, 234
2023-07-08, 14:38:20, 82, 235
2023-07-08, 14:38:21, 81, 234
2023-07-08, 14:38:22, 80, 235
2023-07-08, 14:38:23, 80, 236
2023-07-08, 14:38:24, 81, 235
2023-07-08, 14:38:25, 83, 234
2023-07-08, 14:38:26, 98, 236
2023-07-08, 14:38:27, 91, 234
2023-07-08, 14:38:28, 81, 248
2023-07-08, 14:38:30, 83, 0
2023-07-08, 14:38:31, 83, 234
2023-07-08, 14:38:32, 80, 235
2023-07-08, 14:38:33, 80, 239
2023-07-08, 14:38:34, 80, 235
2023-07-08, 14:38:35, 81, 234
2023-07-08, 14:38:36, 81, 238
2023-07-08, 14:38:37, 84, 234
2023-07-08, 14:38:38, 82, 237
2023-07-08, 14:38:39, 82, 235
2023-07-08, 14:38:40, 81, 236
2023-07-08, 14:38:41, 81, 235
2023-07-08, 14:38:42, 81, 235
2023-07-08, 14:38:43, 80, 238
2023-07-08, 14:38:45, 81, 0
2023-07-08, 14:38:45, 82, 234
2023-07-08, 14:38:46, 81, 235
2023-07-08, 14:38:47, 89, 234
2023-07-08, 14:38:48, 88, 248
2023-07-08, 14:38:49, 82, 244
2023-07-08, 14:38:50, 82, 234
2023-07-08, 14:38:52, 82, 236
2023-07-08, 14:38:53, 81, 236
2023-07-08, 14:38:54, 82, 245
2023-07-08, 14:38:55, 81, 243
2023-07-08, 14:38:56, 82, 237
2023-07-08, 14:38:57, 83, 235
2023-07-08, 14:38:58, 86, 238
2023-07-08, 14:38:59, 80, 236
2023-07-08, 14:39:00, 81, 234
2023-07-08, 14:39:01, 83, 234
2023-07-08, 14:39:02, 81, 234
2023-07-08, 14:39:03, 83, 234
2023-07-08, 14:39:04, 81, 234
2023-07-08, 14:39:05, 81, 234
2023-07-08, 14:39:06, 81, 235
2023-07-08, 14:39:07, 81, 234
2023-07-08, 14:39:08, 86, 235
2023-07-08, 14:39:09, 87, 249
2023-07-08, 14:39:10, 81, 247
2023-07-08, 14:39:11, 83, 241
2023-07-08, 14:39:12, 81, 243
2023-07-08, 14:39:14, 144, 299
2023-07-08, 14:39:15, 80, 238
2023-07-08, 14:39:16, 82, 234
2023-07-08, 14:39:17, 81, 243
2023-07-08, 14:39:18, 81, 245
2023-07-08, 14:39:19, 195, 349
2023-07-08, 14:39:20, 81, 254
2023-07-08, 14:39:21, 80, 247
2023-07-08, 14:39:22, 83, 235
2023-07-08, 14:39:23, 81, 237
2023-07-08, 14:39:25, 0, 0
2023-07-08, 14:39:26, 236, 0
2023-07-08, 14:39:27, 0, 0
2023-07-08, 14:39:28, 83, 0
2023-07-08, 14:39:28, 80, 236
2023-07-08, 14:39:29, 81, 235
2023-07-08, 14:39:30, 80, 236
2023-07-08, 14:39:31, 80, 234
2023-07-08, 14:39:32, 80, 234
2023-07-08, 14:39:33, 90, 236
2023-07-08, 14:39:34, 83, 235
2023-07-08, 14:39:35, 84, 235
2023-07-08, 14:39:36, 80, 248
2023-07-08, 14:39:37, 83, 246
2023-07-08, 14:39:38, 82, 238
2023-07-08, 14:39:40, 80, 242
2023-07-08, 14:39:41, 83, 0
2023-07-08, 14:39:42, 81, 236
2023-07-08, 14:39:43, 83, 255
2023-07-08, 14:39:44, 83, 250
2023-07-08, 14:39:45, 81, 244
2023-07-08, 14:39:46, 80, 235
2023-07-08, 14:39:47, 80, 236
2023-07-08, 14:39:48, 79, 235
2023-07-08, 14:39:50, 81, 0
2023-07-08, 14:39:50, 85, 234
2023-07-08, 14:39:51, 83, 235
2023-07-08, 14:39:52, 80, 235
2023-07-08, 14:39:54, 82, 0
2023-07-08, 14:39:54, 79, 238
2023-07-08, 14:39:55, 81, 238
2023-07-08, 14:39:56, 83, 235
2023-07-08, 14:39:57, 81, 234
2023-07-08, 14:39:58, 81, 235
2023-07-08, 14:39:59, 83, 235
2023-07-08, 14:40:00, 80, 247
2023-07-08, 14:40:01, 83, 242
2023-07-08, 14:40:02, 80, 241
2023-07-08, 14:40:04, 80, 235
2023-07-08, 14:40:05, 81, 0
2023-07-08, 14:40:06, 83, 242
2023-07-08, 14:40:07, 82, 234
2023-07-08, 14:40:08, 83, 234
2023-07-08, 14:40:09, 83, 234
2023-07-08, 14:40:10, 80, 236
2023-07-08, 14:40:11, 82, 235
2023-07-08, 14:40:12, 82, 236
2023-07-08, 14:40:13, 81, 236
2023-07-08, 14:40:14, 81, 235
2023-07-08, 14:40:15, 81, 234
2023-07-08, 14:40:16, 80, 238
2023-07-08, 14:40:17, 80, 236
2023-07-08, 14:40:18, 90, 236
2023-07-08, 14:40:19, 81, 253
2023-07-08, 14:40:20, 82, 244
2023-07-08, 14:40:22, 190, 365
2023-07-08, 14:40:23, 81, 235
2023-07-08, 14:40:24, 131, 288
2023-07-08, 14:40:25, 84, 0
2023-07-08, 14:40:27, 82, 0
2023-07-08, 14:40:27, 81, 236
2023-07-08, 14:40:29, 81, 0
2023-07-08, 14:40:29, 81, 237
2023-07-08, 14:40:30, 81, 234
2023-07-08, 14:40:31, 83, 237
2023-07-08, 14:40:32, 82, 234
2023-07-08, 14:40:34, 83, 0
2023-07-08, 14:40:35, 81, 0
2023-07-08, 14:40:36, 94, 0
2023-07-08, 14:40:36, 82, 236
2023-07-08, 14:40:38, 81, 238
2023-07-08, 14:40:39, 80, 237
2023-07-08, 14:40:40, 80, 243
2023-07-08, 14:40:41, 83, 236
2023-07-08, 14:40:42, 84, 233
2023-07-08, 14:40:43, 83, 234
2023-07-08, 14:40:44, 83, 235
2023-07-08, 14:40:46, 81, 0
2023-07-08, 14:40:46, 83, 235
2023-07-08, 14:40:47, 84, 234
2023-07-08, 14:40:48, 80, 237
2023-07-08, 14:40:49, 81, 235
2023-07-08, 14:40:51, 80, 0
2023-07-08, 14:40:51, 81, 235
2023-07-08, 14:40:52, 87, 236
2023-07-08, 14:40:54, 84, 0
2023-07-08, 14:40:55, 80, 238
2023-07-08, 14:40:56, 81, 234
2023-07-08, 14:40:57, 81, 238
2023-07-08, 14:40:58, 79, 0
2023-07-08, 14:40:59, 80, 0
2023-07-08, 14:41:00, 79, 235
2023-07-08, 14:41:01, 81, 238
2023-07-08, 14:41:02, 80, 239
2023-07-08, 14:41:04, 84, 0
2023-07-08, 14:41:04, 83, 234
2023-07-08, 14:41:05, 83, 239
2023-07-08, 14:41:07, 83, 0
2023-07-08, 14:41:08, 79, 0
2023-07-08, 14:41:08, 84, 235
2023-07-08, 14:41:09, 82, 238
2023-07-08, 14:41:10, 82, 233
2023-07-08, 14:41:11, 85, 237
2023-07-08, 14:41:12, 79, 254
2023-07-08, 14:41:14, 82, 0
2023-07-08, 14:41:15, 81, 0
2023-07-08, 14:41:16, 81, 237
2023-07-08, 14:41:17, 80, 243
2023-07-08, 14:41:18, 80, 234
2023-07-08, 14:41:19, 82, 234
2023-07-08, 14:41:20, 82, 234
2023-07-08, 14:41:21, 83, 234
2023-07-08, 14:41:23, 238, 0
2023-07-08, 14:41:23, 80, 236
2023-07-08, 14:41:24, 82, 234
2023-07-08, 14:41:25, 80, 237
2023-07-08, 14:41:26, 85, 237
2023-07-08, 14:41:27, 80, 237
2023-07-08, 14:41:28, 215, 350
2023-07-08, 14:41:29, 208, 365
2023-07-08, 14:41:30, 103, 251
2023-07-08, 14:41:31, 91, 237
2023-07-08, 14:41:32, 82, 249
2023-07-08, 14:41:34, 82, 0
2023-07-08, 14:41:35, 80, 233
2023-07-08, 14:41:36, 80, 236
2023-07-08, 14:41:37, 81, 234
2023-07-08, 14:41:38, 81, 248
2023-07-08, 14:41:39, 83, 246
2023-07-08, 14:41:40, 80, 244
2023-07-08, 14:41:41, 80, 237
2023-07-08, 14:41:42, 84, 237
2023-07-08, 14:41:44, 80, 0
2023-07-08, 14:41:44, 83, 235
2023-07-08, 14:41:45, 83, 235
2023-07-08, 14:41:46, 80, 236
2023-07-08, 14:41:47, 82, 237
2023-07-08, 14:41:48, 81, 236
2023-07-08, 14:41:49, 82, 237
2023-07-08, 14:41:50, 79, 237
2023-07-08, 14:41:51, 80, 237
2023-07-08, 14:41:52, 84, 235
2023-07-08, 14:41:53, 82, 236
2023-07-08, 14:41:54, 94, 236
2023-07-08, 14:41:55, 82, 253
2023-07-08, 14:41:57, 81, 0
2023-07-08, 14:41:58, 80, 234
2023-07-08, 14:41:59, 80, 236
2023-07-08, 14:42:00, 81, 249
2023-07-08, 14:42:01, 84, 257
2023-07-08, 14:42:02, 80, 236
2023-07-08, 14:42:03, 82, 235
2023-07-08, 14:42:04, 79, 236
2023-07-08, 14:42:05, 80, 236
2023-07-08, 14:42:07, 81, 0
2023-07-08, 14:42:07, 79, 236
2023-07-08, 14:42:08, 81, 235
2023-07-08, 14:42:09, 81, 235
2023-07-08, 14:42:11, 83, 0
2023-07-08, 14:42:11, 84, 236
2023-07-08, 14:42:12, 83, 236
2023-07-08, 14:42:13, 81, 235
2023-07-08, 14:42:15, 93, 0
2023-07-08, 14:42:15, 85, 234
2023-07-08, 14:42:16, 81, 235
2023-07-08, 14:42:17, 83, 235
2023-07-08, 14:42:19, 80, 237
2023-07-08, 14:42:20, 80, 237
2023-07-08, 14:42:21, 82, 234
2023-07-08, 14:42:22, 83, 240
2023-07-08, 14:42:23, 81, 236
2023-07-08, 14:42:24, 83, 235
2023-07-08, 14:42:25, 79, 237
2023-07-08, 14:42:26, 89, 234
2023-07-08, 14:42:27, 80, 236
2023-07-08, 14:42:28, 82, 234
2023-07-08, 14:42:29, 79, 238
2023-07-08, 14:42:30, 80, 236
2023-07-08, 14:42:31, 83, 235
2023-07-08, 14:42:32, 79, 234
2023-07-08, 14:42:33, 83, 235
2023-07-08, 14:42:34, 80, 235
2023-07-08, 14:42:35, 84, 237
2023-07-08, 14:42:36, 145, 301
2023-07-08, 14:42:37, 145, 315
2023-07-08, 14:42:38, 126, 297
2023-07-08, 14:42:39, 163, 327
2023-07-08, 14:42:40, 83, 234
2023-07-08, 14:42:41, 81, 236
2023-07-08, 14:42:43, 80, 235
2023-07-08, 14:42:44, 81, 234
2023-07-08, 14:42:45, 81, 246
2023-07-08, 14:42:46, 83, 237
2023-07-08, 14:42:47, 83, 235
2023-07-08, 14:42:48, 82, 235
2023-07-08, 14:42:49, 81, 238
2023-07-08, 14:42:50, 81, 236
2023-07-08, 14:42:51, 79, 235
2023-07-08, 14:42:52, 82, 235
2023-07-08, 14:42:53, 80, 238
2023-07-08, 14:42:54, 82, 238
2023-07-08, 14:42:55, 81, 237
2023-07-08, 14:42:56, 83, 234
2023-07-08, 14:42:57, 79, 236
2023-07-08, 14:42:58, 99, 235
2023-07-08, 14:42:59, 91, 237
2023-07-08, 14:43:00, 82, 236
2023-07-08, 14:43:02, 82, 237
2023-07-08, 14:43:03, 83, 235
2023-07-08, 14:43:04, 81, 248
2023-07-08, 14:43:05, 83, 242
2023-07-08, 14:43:06, 80, 238
2023-07-08, 14:43:07, 84, 233
2023-07-08, 14:43:08, 80, 235
2023-07-08, 14:43:09, 85, 235
2023-07-08, 14:43:10, 84, 237
2023-07-08, 14:43:11, 83, 235
2023-07-08, 14:43:12, 80, 235
2023-07-08, 14:43:13, 85, 237
2023-07-08, 14:43:14, 81, 236
2023-07-08, 14:43:15, 82, 235
2023-07-08, 14:43:16, 81, 235
2023-07-08, 14:43:17, 84, 235
2023-07-08, 14:43:19, 81, 0
2023-07-08, 14:43:19, 95, 236
2023-07-08, 14:43:20, 92, 235
2023-07-08, 14:43:21, 80, 235
2023-07-08, 14:43:22, 81, 239
2023-07-08, 14:43:24, 80, 234
2023-07-08, 14:43:25, 83, 235
2023-07-08, 14:43:26, 80, 237
2023-07-08, 14:43:27, 80, 234
2023-07-08, 14:43:28, 80, 235
2023-07-08, 14:43:29, 84, 236
2023-07-08, 14:43:30, 80, 236
2023-07-08, 14:43:31, 81, 235
2023-07-08, 14:43:32, 81, 238
2023-07-08, 14:43:33, 82, 235
2023-07-08, 14:43:34, 83, 235
2023-07-08, 14:43:35, 81, 235
2023-07-08, 14:43:36, 81, 238
2023-07-08, 14:43:37, 80, 235
2023-07-08, 14:43:38, 80, 235
2023-07-08, 14:43:39, 90, 237
2023-07-08, 14:43:40, 80, 248
2023-07-08, 14:43:42, 82, 235
2023-07-08, 14:43:43, 84, 235
2023-07-08, 14:43:44, 236, 397
2023-07-08, 14:43:45, 81, 235
2023-07-08, 14:43:46, 79, 235
2023-07-08, 14:43:47, 94, 264
2023-07-08, 14:43:48, 100, 250
2023-07-08, 14:43:49, 82, 239
2023-07-08, 14:43:50, 79, 236
2023-07-08, 14:43:51, 80, 238
2023-07-08, 14:43:52, 81, 238
2023-07-08, 14:43:53, 84, 235
2023-07-08, 14:43:55, 79, 0
2023-07-08, 14:43:55, 80, 237
2023-07-08, 14:43:57, 83, 0
2023-07-08, 14:43:57, 83, 235
2023-07-08, 14:43:59, 238, 0
2023-07-08, 14:43:59, 82, 233
2023-07-08, 14:44:00, 83, 234
2023-07-08, 14:44:01, 89, 237
2023-07-08, 14:44:02, 81, 247
2023-07-08, 14:44:03, 81, 242
2023-07-08, 14:44:04, 80, 236
2023-07-08, 14:44:05, 80, 236
2023-07-08, 14:44:07, 80, 234
2023-07-08, 14:44:08, 81, 235
2023-07-08, 14:44:09, 80, 243
2023-07-08, 14:44:10, 84, 236
2023-07-08, 14:44:12, 81, 0
2023-07-08, 14:44:12, 80, 234
2023-07-08, 14:44:13, 80, 233
2023-07-08, 14:44:15, 80, 0
2023-07-08, 14:44:15, 80, 237
2023-07-08, 14:44:16, 80, 236
2023-07-08, 14:44:17, 81, 237
2023-07-08, 14:44:18, 80, 235
2023-07-08, 14:44:19, 84, 236
2023-07-08, 14:44:20, 82, 235
2023-07-08, 14:44:21, 80, 239
2023-07-08, 14:44:22, 93, 235
2023-07-08, 14:44:23, 87, 235
2023-07-08, 14:44:25, 83, 237
2023-07-08, 14:44:26, 81, 237
2023-07-08, 14:44:27, 237, 0
2023-07-08, 14:44:28, 80, 239
2023-07-08, 14:44:29, 82, 235
2023-07-08, 14:44:30, 83, 235
2023-07-08, 14:44:31, 83, 235
2023-07-08, 14:44:32, 80, 236
2023-07-08, 14:44:33, 83, 233
2023-07-08, 14:44:34, 82, 235
2023-07-08, 14:44:35, 83, 236
2023-07-08, 14:44:36, 80, 237
2023-07-08, 14:44:37, 82, 234
2023-07-08, 14:44:38, 83, 236
2023-07-08, 14:44:39, 82, 234
2023-07-08, 14:44:40, 85, 235
2023-07-08, 14:44:41, 81, 235
2023-07-08, 14:44:42, 80, 241
2023-07-08, 14:44:44, 80, 0
2023-07-08, 14:44:45, 83, 235
2023-07-08, 14:44:46, 81, 243
2023-07-08, 14:44:47, 81, 237
2023-07-08, 14:44:48, 82, 233
2023-07-08, 14:44:49, 80, 239
2023-07-08, 14:44:50, 81, 238
2023-07-08, 14:44:51, 81, 237
2023-07-08, 14:44:52, 149, 302
2023-07-08, 14:44:53, 85, 235
2023-07-08, 14:44:54, 147, 302
2023-07-08, 14:44:55, 205, 364
2023-07-08, 14:44:56, 80, 235
2023-07-08, 14:44:57, 244, 398
2023-07-08, 14:44:58, 83, 235
2023-07-08, 14:44:59, 82, 236
2023-07-08, 14:45:00, 80, 235
2023-07-08, 14:45:01, 81, 235
2023-07-08, 14:45:02, 79, 248
2023-07-08, 14:45:03, 81, 243
2023-07-08, 14:45:05, 81, 242
2023-07-08, 14:45:06, 80, 237
2023-07-08, 14:45:07, 81, 236
2023-07-08, 14:45:08, 82, 236
2023-07-08, 14:45:09, 82, 240
2023-07-08, 14:45:10, 98, 254
2023-07-08, 14:45:11, 85, 236
2023-07-08, 14:45:12, 79, 236
2023-07-08, 14:45:13, 81, 238
2023-07-08, 14:45:14, 84, 235
2023-07-08, 14:45:15, 80, 236
2023-07-08, 14:45:16, 82, 234
2023-07-08, 14:45:17, 81, 235
2023-07-08, 14:45:18, 80, 236
2023-07-08, 14:45:19, 81, 238
2023-07-08, 14:45:20, 81, 234
2023-07-08, 14:45:21, 81, 236
2023-07-08, 14:45:22, 84, 237
2023-07-08, 14:45:23, 87, 240
2023-07-08, 14:45:25, 84, 0
2023-07-08, 14:45:25, 81, 244
2023-07-08, 14:45:26, 81, 242
2023-07-08, 14:45:27, 80, 235
2023-07-08, 14:45:29, 81, 234
2023-07-08, 14:45:30, 80, 0
2023-07-08, 14:45:31, 83, 239
2023-07-08, 14:45:32, 80, 237
2023-07-08, 14:45:33, 83, 234
2023-07-08, 14:45:34, 83, 235
2023-07-08, 14:45:35, 80, 239
2023-07-08, 14:45:36, 83, 236
2023-07-08, 14:45:37, 83, 234
2023-07-08, 14:45:38, 83, 236
2023-07-08, 14:45:39, 81, 236
2023-07-08, 14:45:40, 82, 235
2023-07-08, 14:45:42, 83, 0
2023-07-08, 14:45:42, 82, 235
2023-07-08, 14:45:43, 83, 236
2023-07-08, 14:45:44, 81, 236
2023-07-08, 14:45:45, 79, 253
2023-07-08, 14:45:46, 80, 245
2023-07-08, 14:45:48, 80, 0
2023-07-08, 14:45:49, 80, 234
2023-07-08, 14:45:50, 81, 238
2023-07-08, 14:45:51, 82, 233
2023-07-08, 14:45:52, 81, 239
2023-07-08, 14:45:53, 80, 0
2023-07-08, 14:45:54, 80, 236
2023-07-08, 14:45:55, 80, 237
