date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 16:46:59, 82, 234
2023-07-08, 16:47:00, 94, 234
2023-07-08, 16:47:01, 87, 235
2023-07-08, 16:47:02, 93, 235
2023-07-08, 16:47:03, 93, 236
2023-07-08, 16:47:05, 81, 248
2023-07-08, 16:47:06, 79, 243
2023-07-08, 16:47:07, 82, 233
2023-07-08, 16:47:08, 80, 237
2023-07-08, 16:47:09, 80, 248
2023-07-08, 16:47:10, 82, 238
2023-07-08, 16:47:11, 79, 239
2023-07-08, 16:47:12, 81, 235
2023-07-08, 16:47:13, 81, 234
2023-07-08, 16:47:14, 79, 237
2023-07-08, 16:47:15, 80, 234
2023-07-08, 16:47:16, 81, 234
2023-07-08, 16:47:17, 82, 233
2023-07-08, 16:47:18, 79, 236
2023-07-08, 16:47:19, 81, 235
2023-07-08, 16:47:20, 81, 234
2023-07-08, 16:47:21, 79, 235
2023-07-08, 16:47:22, 100, 237
2023-07-08, 16:47:23, 90, 233
2023-07-08, 16:47:25, 80, 241
2023-07-08, 16:47:26, 79, 235
2023-07-08, 16:47:27, 81, 236
2023-07-08, 16:47:28, 81, 235
2023-07-08, 16:47:29, 79, 243
2023-07-08, 16:47:30, 83, 241
2023-07-08, 16:47:31, 83, 235
2023-07-08, 16:47:32, 81, 235
2023-07-08, 16:47:33, 82, 233
2023-07-08, 16:47:34, 82, 234
2023-07-08, 16:47:35, 80, 236
2023-07-08, 16:47:36, 80, 234
2023-07-08, 16:47:37, 80, 234
2023-07-08, 16:47:38, 80, 234
2023-07-08, 16:47:39, 82, 237
2023-07-08, 16:47:40, 80, 236
2023-07-08, 16:47:41, 80, 234
2023-07-08, 16:47:42, 81, 236
2023-07-08, 16:47:43, 89, 236
2023-07-08, 16:47:44, 84, 235
2023-07-08, 16:47:46, 81, 235
2023-07-08, 16:47:47, 83, 243
2023-07-08, 16:47:48, 80, 238
2023-07-08, 16:47:49, 80, 235
2023-07-08, 16:47:50, 79, 235
2023-07-08, 16:47:51, 82, 250
2023-07-08, 16:47:52, 80, 244
2023-07-08, 16:47:53, 80, 246
2023-07-08, 16:47:54, 79, 239
2023-07-08, 16:47:55, 85, 236
2023-07-08, 16:47:56, 81, 234
2023-07-08, 16:47:57, 81, 237
2023-07-08, 16:47:58, 234, 389
2023-07-08, 16:47:59, 80, 234
2023-07-08, 16:48:00, 86, 241
2023-07-08, 16:48:01, 208, 358
2023-07-08, 16:48:02, 81, 237
2023-07-08, 16:48:03, 81, 235
2023-07-08, 16:48:04, 84, 235
2023-07-08, 16:48:05, 80, 235
2023-07-08, 16:48:06, 80, 234
2023-07-08, 16:48:07, 79, 235
2023-07-08, 16:48:08, 79, 235
2023-07-08, 16:48:09, 79, 237
2023-07-08, 16:48:10, 82, 234
2023-07-08, 16:48:11, 96, 233
2023-07-08, 16:48:13, 80, 238
2023-07-08, 16:48:14, 82, 236
2023-07-08, 16:48:15, 79, 236
