date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 11:00:01, 83, 239
2023-07-08, 11:00:02, 80, 238
2023-07-08, 11:00:04, 115, 237
2023-07-08, 11:00:05, 97, 241
2023-07-08, 11:00:06, 92, 238
2023-07-08, 11:00:07, 83, 242
2023-07-08, 11:00:08, 80, 241
2023-07-08, 11:00:09, 108, 239
2023-07-08, 11:00:10, 84, 238
2023-07-08, 11:00:11, 80, 243
2023-07-08, 11:00:12, 80, 241
2023-07-08, 11:00:13, 84, 239
2023-07-08, 11:00:14, 80, 239
2023-07-08, 11:00:15, 81, 239
2023-07-08, 11:00:16, 81, 238
2023-07-08, 11:00:17, 84, 237
2023-07-08, 11:00:18, 91, 240
2023-07-08, 11:00:19, 141, 301
2023-07-08, 11:00:20, 83, 238
2023-07-08, 11:00:21, 80, 237
2023-07-08, 11:00:22, 79, 238
2023-07-08, 11:00:23, 80, 239
2023-07-08, 11:00:24, 105, 261
2023-07-08, 11:00:25, 82, 239
2023-07-08, 11:00:26, 80, 240
2023-07-08, 11:00:27, 96, 240
2023-07-08, 11:00:29, 86, 242
2023-07-08, 11:00:30, 79, 252
2023-07-08, 11:00:31, 81, 251
2023-07-08, 11:00:32, 81, 249
2023-07-08, 11:00:33, 80, 244
2023-07-08, 11:00:34, 81, 237
2023-07-08, 11:00:35, 80, 244
2023-07-08, 11:00:36, 81, 240
2023-07-08, 11:00:37, 81, 238
2023-07-08, 11:00:38, 82, 237
2023-07-08, 11:00:39, 214, 375
2023-07-08, 11:00:40, 82, 238
2023-07-08, 11:00:41, 135, 290
2023-07-08, 11:00:42, 79, 241
2023-07-08, 11:00:43, 81, 242
2023-07-08, 11:00:44, 82, 237
2023-07-08, 11:00:45, 184, 339
2023-07-08, 11:00:46, 80, 238
2023-07-08, 11:00:47, 82, 238
2023-07-08, 11:00:48, 81, 242
2023-07-08, 11:00:49, 82, 239
2023-07-08, 11:00:50, 82, 238
2023-07-08, 11:00:51, 82, 238
2023-07-08, 11:00:52, 187, 350
2023-07-08, 11:00:53, 93, 237
2023-07-08, 11:00:54, 81, 239
2023-07-08, 11:00:55, 87, 239
2023-07-08, 11:00:57, 83, 254
2023-07-08, 11:00:58, 80, 247
2023-07-08, 11:00:59, 84, 238
2023-07-08, 11:01:00, 79, 238
2023-07-08, 11:01:01, 79, 240
2023-07-08, 11:01:02, 80, 239
2023-07-08, 11:01:03, 83, 250
2023-07-08, 11:01:04, 81, 240
2023-07-08, 11:01:05, 81, 240
2023-07-08, 11:01:06, 80, 241
2023-07-08, 11:01:07, 83, 241
2023-07-08, 11:01:08, 83, 242
2023-07-08, 11:01:09, 81, 242
2023-07-08, 11:01:10, 80, 240
2023-07-08, 11:01:11, 83, 238
2023-07-08, 11:01:12, 84, 238
2023-07-08, 11:01:13, 81, 241
2023-07-08, 11:01:14, 85, 241
2023-07-08, 11:01:15, 80, 239
2023-07-08, 11:01:16, 82, 241
2023-07-08, 11:01:17, 81, 241
2023-07-08, 11:01:18, 83, 240
2023-07-08, 11:01:19, 83, 239
2023-07-08, 11:01:20, 82, 239
2023-07-08, 11:01:21, 80, 238
2023-07-08, 11:01:22, 79, 238
2023-07-08, 11:01:23, 81, 239
2023-07-08, 11:01:24, 83, 238
2023-07-08, 11:01:25, 81, 241
2023-07-08, 11:01:26, 82, 239
2023-07-08, 11:01:27, 93, 240
2023-07-08, 11:01:29, 90, 238
2023-07-08, 11:01:30, 84, 240
2023-07-08, 11:01:31, 80, 241
2023-07-08, 11:01:32, 81, 241
2023-07-08, 11:01:33, 81, 241
2023-07-08, 11:01:34, 80, 239
2023-07-08, 11:01:35, 81, 240
2023-07-08, 11:01:36, 84, 237
2023-07-08, 11:01:37, 80, 238
2023-07-08, 11:01:38, 82, 257
2023-07-08, 11:01:39, 81, 239
2023-07-08, 11:01:40, 79, 239
2023-07-08, 11:01:41, 83, 237
2023-07-08, 11:01:42, 81, 241
2023-07-08, 11:01:43, 82, 238
2023-07-08, 11:01:44, 80, 238
2023-07-08, 11:01:45, 83, 239
2023-07-08, 11:01:46, 83, 237
2023-07-08, 11:01:47, 81, 238
2023-07-08, 11:01:48, 81, 241
2023-07-08, 11:01:49, 81, 239
2023-07-08, 11:01:50, 80, 247
2023-07-08, 11:01:51, 193, 353
2023-07-08, 11:01:52, 136, 286
2023-07-08, 11:01:54, 222, 379
2023-07-08, 11:01:54, 85, 239
2023-07-08, 11:01:55, 81, 240
2023-07-08, 11:01:57, 222, 386
2023-07-08, 11:01:58, 87, 238
2023-07-08, 11:01:59, 80, 237
2023-07-08, 11:02:00, 84, 238
2023-07-08, 11:02:01, 81, 238
2023-07-08, 11:02:02, 82, 244
2023-07-08, 11:02:03, 80, 241
2023-07-08, 11:02:04, 111, 239
2023-07-08, 11:02:05, 80, 240
2023-07-08, 11:02:06, 80, 242
2023-07-08, 11:02:07, 79, 242
2023-07-08, 11:02:08, 83, 256
2023-07-08, 11:02:09, 80, 239
2023-07-08, 11:02:10, 82, 238
2023-07-08, 11:02:11, 88, 238
2023-07-08, 11:02:12, 82, 239
2023-07-08, 11:02:13, 81, 241
2023-07-08, 11:02:14, 83, 238
2023-07-08, 11:02:15, 81, 244
2023-07-08, 11:02:16, 84, 238
2023-07-08, 11:02:17, 82, 244
2023-07-08, 11:02:18, 89, 238
2023-07-08, 11:02:19, 82, 239
2023-07-08, 11:02:20, 84, 239
2023-07-08, 11:02:21, 84, 240
2023-07-08, 11:02:22, 80, 239
2023-07-08, 11:02:23, 84, 239
2023-07-08, 11:02:24, 83, 241
2023-07-08, 11:02:25, 81, 241
2023-07-08, 11:02:26, 84, 241
2023-07-08, 11:02:27, 80, 239
2023-07-08, 11:02:29, 0, 0
2023-07-08, 11:02:29, 83, 238
2023-07-08, 11:02:31, 90, 239
2023-07-08, 11:02:32, 98, 239
2023-07-08, 11:02:33, 81, 249
2023-07-08, 11:02:34, 109, 268
2023-07-08, 11:02:35, 80, 240
2023-07-08, 11:02:36, 81, 239
2023-07-08, 11:02:37, 83, 240
2023-07-08, 11:02:38, 80, 240
2023-07-08, 11:02:39, 79, 251
2023-07-08, 11:02:40, 81, 242
2023-07-08, 11:02:41, 80, 239
2023-07-08, 11:02:42, 81, 239
2023-07-08, 11:02:43, 97, 244
2023-07-08, 11:02:44, 97, 257
2023-07-08, 11:02:45, 81, 239
2023-07-08, 11:02:46, 80, 240
2023-07-08, 11:02:47, 80, 239
2023-07-08, 11:02:48, 80, 244
2023-07-08, 11:02:49, 102, 258
2023-07-08, 11:02:50, 80, 237
2023-07-08, 11:02:51, 83, 238
2023-07-08, 11:02:52, 82, 238
2023-07-08, 11:02:53, 81, 247
2023-07-08, 11:02:54, 81, 253
2023-07-08, 11:02:55, 80, 238
2023-07-08, 11:02:56, 83, 238
2023-07-08, 11:02:57, 81, 237
2023-07-08, 11:02:58, 166, 332
2023-07-08, 11:02:59, 156, 319
2023-07-08, 11:03:00, 151, 310
2023-07-08, 11:03:01, 143, 299
2023-07-08, 11:03:03, 237, 396
2023-07-08, 11:03:04, 123, 271
2023-07-08, 11:03:05, 104, 239
2023-07-08, 11:03:06, 101, 237
2023-07-08, 11:03:07, 81, 249
2023-07-08, 11:03:08, 80, 238
2023-07-08, 11:03:09, 80, 238
2023-07-08, 11:03:10, 92, 239
2023-07-08, 11:03:11, 81, 239
2023-07-08, 11:03:12, 84, 243
2023-07-08, 11:03:13, 80, 240
