date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 06:20:25, 110, 268
2023-07-08, 06:20:26, 81, 235
2023-07-08, 06:20:28, 264, 0
2023-07-08, 06:20:28, 95, 235
2023-07-08, 06:20:29, 89, 245
2023-07-08, 06:20:30, 79, 234
2023-07-08, 06:20:31, 172, 328
2023-07-08, 06:20:32, 79, 234
2023-07-08, 06:20:33, 118, 270
2023-07-08, 06:20:35, 0, 0
2023-07-08, 06:20:35, 81, 232
2023-07-08, 06:20:36, 79, 234
2023-07-08, 06:20:37, 81, 234
2023-07-08, 06:20:38, 124, 277
2023-07-08, 06:20:39, 82, 239
2023-07-08, 06:20:40, 79, 234
2023-07-08, 06:20:41, 81, 233
2023-07-08, 06:20:42, 80, 234
2023-07-08, 06:20:43, 102, 235
2023-07-08, 06:20:44, 80, 235
2023-07-08, 06:20:45, 80, 234
2023-07-08, 06:20:46, 123, 275
2023-07-08, 06:20:47, 90, 279
2023-07-08, 06:20:49, 268, 0
2023-07-08, 06:20:49, 82, 232
2023-07-08, 06:20:50, 79, 234
2023-07-08, 06:20:52, 240, 395
2023-07-08, 06:20:53, 81, 234
2023-07-08, 06:20:54, 102, 250
2023-07-08, 06:20:55, 167, 320
2023-07-08, 06:20:56, 83, 240
2023-07-08, 06:20:57, 101, 256
2023-07-08, 06:20:58, 83, 233
2023-07-08, 06:20:59, 87, 235
2023-07-08, 06:21:00, 82, 235
2023-07-08, 06:21:01, 117, 274
2023-07-08, 06:21:02, 176, 326
2023-07-08, 06:21:03, 80, 234
2023-07-08, 06:21:04, 0, 0
2023-07-08, 06:21:05, 123, 277
2023-07-08, 06:21:06, 111, 274
2023-07-08, 06:21:07, 97, 248
2023-07-08, 06:21:08, 95, 252
2023-07-08, 06:21:09, 119, 279
2023-07-08, 06:21:10, 80, 234
2023-07-08, 06:21:11, 80, 235
2023-07-08, 06:21:12, 147, 304
2023-07-08, 06:21:13, 81, 234
2023-07-08, 06:21:15, 0, 0
2023-07-08, 06:21:15, 84, 235
2023-07-08, 06:21:16, 79, 243
2023-07-08, 06:21:17, 101, 256
2023-07-08, 06:21:18, 107, 241
2023-07-08, 06:21:19, 81, 239
2023-07-08, 06:21:20, 79, 234
2023-07-08, 06:21:21, 81, 234
2023-07-08, 06:21:22, 80, 236
2023-07-08, 06:21:23, 134, 286
2023-07-08, 06:21:24, 80, 233
2023-07-08, 06:21:25, 79, 234
2023-07-08, 06:21:26, 158, 312
2023-07-08, 06:21:27, 83, 238
2023-07-08, 06:21:28, 103, 259
2023-07-08, 06:21:29, 84, 236
2023-07-08, 06:21:30, 80, 235
2023-07-08, 06:21:31, 80, 234
2023-07-08, 06:21:32, 79, 232
2023-07-08, 06:21:33, 103, 254
2023-07-08, 06:21:34, 80, 233
2023-07-08, 06:21:35, 81, 234
2023-07-08, 06:21:36, 83, 232
2023-07-08, 06:21:37, 81, 234
2023-07-08, 06:21:38, 90, 248
2023-07-08, 06:21:39, 79, 233
2023-07-08, 06:21:40, 81, 234
2023-07-08, 06:21:41, 80, 233
2023-07-08, 06:21:42, 83, 234
2023-07-08, 06:21:43, 92, 233
2023-07-08, 06:21:45, 105, 256
2023-07-08, 06:21:45, 79, 234
2023-07-08, 06:21:47, 99, 249
2023-07-08, 06:21:48, 116, 271
2023-07-08, 06:21:49, 83, 236
2023-07-08, 06:21:50, 80, 233
2023-07-08, 06:21:51, 80, 235
2023-07-08, 06:21:52, 81, 234
2023-07-08, 06:21:53, 122, 271
2023-07-08, 06:21:54, 80, 236
2023-07-08, 06:21:55, 83, 236
2023-07-08, 06:21:56, 119, 273
2023-07-08, 06:21:57, 91, 243
2023-07-08, 06:21:58, 178, 330
2023-07-08, 06:21:59, 155, 312
2023-07-08, 06:22:00, 79, 235
2023-07-08, 06:22:01, 85, 239
2023-07-08, 06:22:02, 81, 236
2023-07-08, 06:22:03, 80, 239
2023-07-08, 06:22:05, 184, 0
2023-07-08, 06:22:05, 155, 312
2023-07-08, 06:22:06, 289, 442
2023-07-08, 06:22:07, 82, 235
2023-07-08, 06:22:08, 110, 262
2023-07-08, 06:22:10, 0, 0
2023-07-08, 06:22:10, 80, 238
2023-07-08, 06:22:11, 80, 237
2023-07-08, 06:22:12, 80, 237
2023-07-08, 06:22:13, 81, 236
2023-07-08, 06:22:14, 112, 264
2023-07-08, 06:22:15, 80, 235
2023-07-08, 06:22:16, 80, 235
2023-07-08, 06:22:17, 93, 247
2023-07-08, 06:22:18, 96, 252
2023-07-08, 06:22:19, 80, 235
2023-07-08, 06:22:20, 82, 236
2023-07-08, 06:22:21, 107, 261
2023-07-08, 06:22:22, 100, 258
2023-07-08, 06:22:24, 149, 338
2023-07-08, 06:22:25, 124, 275
2023-07-08, 06:22:26, 245, 400
2023-07-08, 06:22:27, 92, 248
2023-07-08, 06:22:28, 81, 236
2023-07-08, 06:22:29, 79, 235
2023-07-08, 06:22:30, 131, 289
2023-07-08, 06:22:31, 89, 236
2023-07-08, 06:22:32, 119, 270
2023-07-08, 06:22:33, 93, 237
2023-07-08, 06:22:34, 119, 276
2023-07-08, 06:22:35, 142, 300
2023-07-08, 06:22:36, 194, 349
