date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 08:24:12, 80, 241
2023-07-08, 08:24:13, 79, 240
2023-07-08, 08:24:14, 81, 238
2023-07-08, 08:24:15, 224, 383
2023-07-08, 08:24:17, 238, 399
2023-07-08, 08:24:17, 131, 287
2023-07-08, 08:24:18, 80, 237
2023-07-08, 08:24:20, 208, 371
2023-07-08, 08:24:21, 81, 237
2023-07-08, 08:24:22, 94, 237
2023-07-08, 08:24:23, 91, 239
2023-07-08, 08:24:24, 80, 237
2023-07-08, 08:24:25, 82, 237
2023-07-08, 08:24:26, 82, 238
2023-07-08, 08:24:27, 80, 249
2023-07-08, 08:24:28, 81, 238
2023-07-08, 08:24:29, 80, 239
2023-07-08, 08:24:30, 81, 240
2023-07-08, 08:24:31, 80, 238
2023-07-08, 08:24:32, 81, 239
2023-07-08, 08:24:33, 80, 237
2023-07-08, 08:24:34, 80, 239
2023-07-08, 08:24:35, 85, 239
2023-07-08, 08:24:36, 81, 240
2023-07-08, 08:24:37, 82, 237
2023-07-08, 08:24:38, 84, 244
2023-07-08, 08:24:39, 82, 245
2023-07-08, 08:24:40, 93, 244
2023-07-08, 08:24:41, 84, 244
2023-07-08, 08:24:42, 84, 241
2023-07-08, 08:24:43, 84, 240
2023-07-08, 08:24:44, 86, 241
2023-07-08, 08:24:45, 83, 239
2023-07-08, 08:24:46, 85, 242
2023-07-08, 08:24:47, 84, 239
2023-07-08, 08:24:49, 104, 248
2023-07-08, 08:24:50, 107, 249
2023-07-08, 08:24:51, 99, 247
2023-07-08, 08:24:52, 86, 239
2023-07-08, 08:24:53, 84, 252
2023-07-08, 08:24:54, 86, 248
2023-07-08, 08:24:55, 85, 244
2023-07-08, 08:24:56, 88, 243
2023-07-08, 08:24:57, 81, 239
2023-07-08, 08:24:58, 80, 240
2023-07-08, 08:24:59, 83, 239
2023-07-08, 08:25:00, 89, 246
2023-07-08, 08:25:01, 80, 239
2023-07-08, 08:25:02, 81, 241
2023-07-08, 08:25:03, 80, 239
2023-07-08, 08:25:04, 82, 238
2023-07-08, 08:25:05, 80, 238
2023-07-08, 08:25:06, 80, 239
2023-07-08, 08:25:07, 82, 239
2023-07-08, 08:25:08, 81, 240
2023-07-08, 08:25:09, 83, 242
2023-07-08, 08:25:10, 81, 238
2023-07-08, 08:25:11, 83, 238
2023-07-08, 08:25:12, 81, 239
2023-07-08, 08:25:13, 80, 238
2023-07-08, 08:25:14, 84, 240
2023-07-08, 08:25:16, 89, 240
2023-07-08, 08:25:17, 85, 238
2023-07-08, 08:25:18, 81, 237
2023-07-08, 08:25:19, 82, 237
2023-07-08, 08:25:20, 80, 238
2023-07-08, 08:25:21, 81, 240
2023-07-08, 08:25:22, 80, 246
2023-07-08, 08:25:23, 81, 250
2023-07-08, 08:25:24, 113, 270
2023-07-08, 08:25:25, 81, 239
2023-07-08, 08:25:26, 81, 240
2023-07-08, 08:25:27, 80, 239
2023-07-08, 08:25:28, 82, 238
2023-07-08, 08:25:29, 81, 237
2023-07-08, 08:25:30, 81, 241
2023-07-08, 08:25:31, 79, 241
2023-07-08, 08:25:32, 80, 239
2023-07-08, 08:25:33, 83, 241
2023-07-08, 08:25:34, 82, 239
2023-07-08, 08:25:35, 82, 241
2023-07-08, 08:25:36, 80, 241
2023-07-08, 08:25:37, 81, 238
2023-07-08, 08:25:38, 83, 240
2023-07-08, 08:25:39, 81, 241
2023-07-08, 08:25:40, 82, 237
2023-07-08, 08:25:41, 83, 239
2023-07-08, 08:25:42, 81, 240
2023-07-08, 08:25:43, 81, 241
2023-07-08, 08:25:44, 79, 241
2023-07-08, 08:25:45, 80, 239
2023-07-08, 08:25:46, 80, 240
2023-07-08, 08:25:48, 81, 239
2023-07-08, 08:25:49, 82, 241
2023-07-08, 08:25:50, 87, 243
2023-07-08, 08:25:51, 85, 240
2023-07-08, 08:25:52, 80, 239
2023-07-08, 08:25:53, 82, 238
2023-07-08, 08:25:54, 80, 242
2023-07-08, 08:25:55, 80, 241
2023-07-08, 08:25:56, 81, 241
2023-07-08, 08:25:57, 81, 239
2023-07-08, 08:25:58, 81, 239
2023-07-08, 08:25:59, 80, 241
2023-07-08, 08:26:00, 83, 238
2023-07-08, 08:26:01, 84, 239
2023-07-08, 08:26:02, 80, 237
2023-07-08, 08:26:03, 81, 241
2023-07-08, 08:26:04, 81, 240
2023-07-08, 08:26:05, 80, 241
2023-07-08, 08:26:06, 87, 242
2023-07-08, 08:26:07, 80, 240
2023-07-08, 08:26:08, 81, 238
2023-07-08, 08:26:09, 81, 237
2023-07-08, 08:26:10, 83, 238
2023-07-08, 08:26:12, 94, 238
2023-07-08, 08:26:13, 91, 241
2023-07-08, 08:26:14, 80, 244
2023-07-08, 08:26:15, 79, 240
2023-07-08, 08:26:16, 80, 241
2023-07-08, 08:26:17, 92, 238
2023-07-08, 08:26:18, 80, 240
2023-07-08, 08:26:19, 80, 238
2023-07-08, 08:26:20, 80, 240
2023-07-08, 08:26:21, 83, 238
2023-07-08, 08:26:22, 80, 240
2023-07-08, 08:26:23, 82, 239
2023-07-08, 08:26:24, 82, 238
2023-07-08, 08:26:25, 80, 236
2023-07-08, 08:26:26, 79, 239
2023-07-08, 08:26:27, 79, 240
2023-07-08, 08:26:28, 80, 237
2023-07-08, 08:26:29, 224, 383
2023-07-08, 08:26:30, 131, 286
2023-07-08, 08:26:31, 81, 238
2023-07-08, 08:26:33, 225, 383
2023-07-08, 08:26:33, 80, 238
2023-07-08, 08:26:35, 105, 256
2023-07-08, 08:26:36, 103, 256
2023-07-08, 08:26:37, 80, 248
2023-07-08, 08:26:38, 79, 255
2023-07-08, 08:26:39, 80, 243
2023-07-08, 08:26:40, 81, 240
2023-07-08, 08:26:41, 82, 238
2023-07-08, 08:26:42, 83, 240
2023-07-08, 08:26:43, 80, 249
2023-07-08, 08:26:44, 84, 240
2023-07-08, 08:26:45, 79, 239
2023-07-08, 08:26:46, 81, 239
2023-07-08, 08:26:47, 79, 239
2023-07-08, 08:26:48, 83, 239
2023-07-08, 08:26:49, 82, 238
2023-07-08, 08:26:50, 82, 238
2023-07-08, 08:26:51, 81, 244
2023-07-08, 08:26:52, 83, 239
2023-07-08, 08:26:53, 80, 238
2023-07-08, 08:26:54, 80, 239
2023-07-08, 08:26:55, 81, 239
2023-07-08, 08:26:56, 79, 241
2023-07-08, 08:26:57, 83, 237
2023-07-08, 08:26:58, 85, 238
2023-07-08, 08:26:59, 82, 236
2023-07-08, 08:27:01, 81, 238
2023-07-08, 08:27:02, 93, 238
2023-07-08, 08:27:03, 95, 238
2023-07-08, 08:27:04, 85, 237
2023-07-08, 08:27:05, 81, 237
2023-07-08, 08:27:06, 83, 258
2023-07-08, 08:27:07, 81, 244
2023-07-08, 08:27:08, 84, 241
2023-07-08, 08:27:09, 81, 238
2023-07-08, 08:27:10, 81, 241
2023-07-08, 08:27:11, 81, 238
2023-07-08, 08:27:12, 80, 239
2023-07-08, 08:27:13, 81, 239
2023-07-08, 08:27:14, 82, 239
2023-07-08, 08:27:15, 80, 238
2023-07-08, 08:27:16, 82, 237
2023-07-08, 08:27:17, 80, 239
2023-07-08, 08:27:18, 82, 239
2023-07-08, 08:27:19, 81, 238
2023-07-08, 08:27:20, 82, 238
2023-07-08, 08:27:21, 82, 239
2023-07-08, 08:27:22, 80, 240
2023-07-08, 08:27:23, 81, 237
2023-07-08, 08:27:24, 80, 243
2023-07-08, 08:27:25, 81, 241
2023-07-08, 08:27:26, 81, 240
2023-07-08, 08:27:27, 83, 239
