date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 11:31:07, 81, 241
2023-07-08, 11:31:08, 82, 240
2023-07-08, 11:31:09, 81, 238
2023-07-08, 11:31:10, 84, 239
2023-07-08, 11:31:11, 81, 242
2023-07-08, 11:31:12, 81, 238
2023-07-08, 11:31:13, 97, 240
2023-07-08, 11:31:14, 80, 239
2023-07-08, 11:31:15, 81, 239
2023-07-08, 11:31:16, 81, 237
2023-07-08, 11:31:17, 80, 240
2023-07-08, 11:31:18, 79, 241
2023-07-08, 11:31:19, 82, 237
2023-07-08, 11:31:20, 83, 242
2023-07-08, 11:31:21, 82, 240
2023-07-08, 11:31:22, 79, 239
2023-07-08, 11:31:24, 178, 334
2023-07-08, 11:31:25, 144, 297
2023-07-08, 11:31:26, 181, 338
2023-07-08, 11:31:27, 143, 301
2023-07-08, 11:31:28, 161, 316
2023-07-08, 11:31:29, 90, 259
2023-07-08, 11:31:30, 81, 241
2023-07-08, 11:31:31, 83, 241
2023-07-08, 11:31:32, 81, 239
2023-07-08, 11:31:33, 80, 240
2023-07-08, 11:31:34, 84, 237
2023-07-08, 11:31:35, 79, 245
2023-07-08, 11:31:36, 82, 240
2023-07-08, 11:31:37, 80, 238
2023-07-08, 11:31:38, 82, 239
2023-07-08, 11:31:39, 85, 238
2023-07-08, 11:31:40, 80, 245
2023-07-08, 11:31:41, 82, 242
2023-07-08, 11:31:42, 81, 241
2023-07-08, 11:31:43, 82, 238
2023-07-08, 11:31:44, 82, 241
2023-07-08, 11:31:45, 83, 237
2023-07-08, 11:31:46, 80, 240
2023-07-08, 11:31:47, 84, 239
2023-07-08, 11:31:48, 81, 246
2023-07-08, 11:31:49, 91, 252
2023-07-08, 11:31:50, 79, 240
2023-07-08, 11:31:51, 80, 240
2023-07-08, 11:31:52, 80, 240
2023-07-08, 11:31:53, 82, 238
2023-07-08, 11:31:54, 110, 269
2023-07-08, 11:31:55, 81, 241
2023-07-08, 11:31:56, 91, 238
2023-07-08, 11:31:57, 84, 241
2023-07-08, 11:31:58, 93, 241
2023-07-08, 11:32:00, 84, 250
2023-07-08, 11:32:01, 81, 248
2023-07-08, 11:32:02, 80, 242
2023-07-08, 11:32:03, 82, 241
2023-07-08, 11:32:04, 84, 247
2023-07-08, 11:32:05, 124, 281
2023-07-08, 11:32:06, 83, 241
2023-07-08, 11:32:07, 80, 247
2023-07-08, 11:32:08, 80, 255
2023-07-08, 11:32:09, 80, 248
2023-07-08, 11:32:10, 109, 271
2023-07-08, 11:32:11, 89, 239
2023-07-08, 11:32:12, 80, 237
2023-07-08, 11:32:13, 83, 254
2023-07-08, 11:32:14, 86, 247
2023-07-08, 11:32:15, 81, 239
2023-07-08, 11:32:16, 80, 242
2023-07-08, 11:32:17, 85, 239
2023-07-08, 11:32:18, 84, 238
2023-07-08, 11:32:19, 94, 242
2023-07-08, 11:32:20, 85, 245
2023-07-08, 11:32:21, 80, 240
2023-07-08, 11:32:22, 83, 238
2023-07-08, 11:32:23, 83, 238
2023-07-08, 11:32:24, 88, 250
2023-07-08, 11:32:25, 83, 238
2023-07-08, 11:32:26, 80, 239
2023-07-08, 11:32:27, 81, 240
2023-07-08, 11:32:28, 87, 258
2023-07-08, 11:32:29, 118, 274
2023-07-08, 11:32:30, 81, 241
2023-07-08, 11:32:32, 179, 354
2023-07-08, 11:32:33, 176, 337
2023-07-08, 11:32:34, 116, 277
2023-07-08, 11:32:35, 210, 366
2023-07-08, 11:32:36, 80, 238
2023-07-08, 11:32:37, 191, 356
2023-07-08, 11:32:38, 80, 239
2023-07-08, 11:32:39, 80, 246
2023-07-08, 11:32:40, 80, 240
2023-07-08, 11:32:41, 80, 238
2023-07-08, 11:32:42, 81, 240
2023-07-08, 11:32:43, 80, 241
2023-07-08, 11:32:44, 91, 277
2023-07-08, 11:32:45, 80, 238
2023-07-08, 11:32:46, 81, 240
2023-07-08, 11:32:47, 80, 239
2023-07-08, 11:32:48, 107, 244
2023-07-08, 11:32:49, 113, 268
