date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 09:57:41, 80, 237
2023-07-08, 09:57:42, 81, 238
2023-07-08, 09:57:43, 80, 242
2023-07-08, 09:57:44, 81, 241
2023-07-08, 09:57:45, 82, 238
2023-07-08, 09:57:47, 99, 246
2023-07-08, 09:57:48, 138, 301
2023-07-08, 09:57:49, 196, 355
2023-07-08, 09:57:50, 84, 238
2023-07-08, 09:57:51, 79, 241
2023-07-08, 09:57:52, 81, 239
2023-07-08, 09:57:53, 83, 251
2023-07-08, 09:57:54, 82, 250
2023-07-08, 09:57:55, 79, 242
2023-07-08, 09:57:56, 83, 239
2023-07-08, 09:57:57, 82, 239
2023-07-08, 09:57:58, 82, 242
2023-07-08, 09:57:59, 81, 242
2023-07-08, 09:58:00, 81, 239
2023-07-08, 09:58:01, 80, 309
2023-07-08, 09:58:02, 85, 237
2023-07-08, 09:58:03, 81, 240
2023-07-08, 09:58:04, 82, 238
2023-07-08, 09:58:05, 82, 237
2023-07-08, 09:58:06, 79, 239
2023-07-08, 09:58:07, 82, 237
2023-07-08, 09:58:08, 84, 239
2023-07-08, 09:58:09, 81, 238
2023-07-08, 09:58:10, 83, 238
2023-07-08, 09:58:11, 83, 239
2023-07-08, 09:58:13, 89, 239
2023-07-08, 09:58:14, 85, 242
2023-07-08, 09:58:15, 81, 237
2023-07-08, 09:58:16, 238, 0
2023-07-08, 09:58:18, 0, 0
2023-07-08, 09:58:19, 0, 0
2023-07-08, 09:58:20, 0, 0
2023-07-08, 09:58:21, 80, 0
2023-07-08, 09:58:21, 82, 240
2023-07-08, 09:58:22, 81, 241
2023-07-08, 09:58:23, 81, 239
2023-07-08, 09:58:24, 83, 239
2023-07-08, 09:58:25, 82, 239
2023-07-08, 09:58:26, 81, 238
2023-07-08, 09:58:27, 83, 239
2023-07-08, 09:58:28, 81, 238
2023-07-08, 09:58:29, 82, 240
2023-07-08, 09:58:30, 83, 239
2023-07-08, 09:58:31, 81, 240
2023-07-08, 09:58:33, 98, 239
2023-07-08, 09:58:34, 92, 240
2023-07-08, 09:58:35, 88, 237
2023-07-08, 09:58:36, 92, 238
2023-07-08, 09:58:37, 81, 237
2023-07-08, 09:58:38, 81, 241
2023-07-08, 09:58:39, 81, 238
2023-07-08, 09:58:40, 81, 239
2023-07-08, 09:58:41, 81, 238
2023-07-08, 09:58:42, 81, 241
2023-07-08, 09:58:43, 81, 241
2023-07-08, 09:58:44, 81, 238
2023-07-08, 09:58:45, 80, 237
2023-07-08, 09:58:46, 80, 237
2023-07-08, 09:58:47, 81, 237
2023-07-08, 09:58:48, 81, 240
2023-07-08, 09:58:49, 82, 240
2023-07-08, 09:58:50, 80, 238
2023-07-08, 09:58:51, 194, 351
2023-07-08, 09:58:52, 79, 238
2023-07-08, 09:58:53, 80, 237
2023-07-08, 09:58:55, 0, 0
2023-07-08, 09:58:56, 490, 0
2023-07-08, 09:58:57, 84, 239
2023-07-08, 09:58:58, 83, 253
2023-07-08, 09:58:59, 81, 242
2023-07-08, 09:59:00, 81, 238
2023-07-08, 09:59:01, 0, 0
2023-07-08, 09:59:02, 80, 239
2023-07-08, 09:59:03, 81, 248
2023-07-08, 09:59:04, 82, 239
2023-07-08, 09:59:05, 79, 240
2023-07-08, 09:59:06, 83, 239
2023-07-08, 09:59:07, 81, 244
2023-07-08, 09:59:08, 85, 240
2023-07-08, 09:59:09, 83, 237
2023-07-08, 09:59:10, 81, 239
2023-07-08, 09:59:11, 84, 237
2023-07-08, 09:59:12, 80, 241
2023-07-08, 09:59:13, 80, 242
2023-07-08, 09:59:14, 82, 237
2023-07-08, 09:59:15, 86, 240
2023-07-08, 09:59:17, 84, 239
2023-07-08, 09:59:18, 83, 252
2023-07-08, 09:59:19, 79, 253
