date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 09:26:33, 81, 237
2023-07-08, 09:26:34, 81, 238
2023-07-08, 09:26:35, 80, 237
2023-07-08, 09:26:36, 80, 239
2023-07-08, 09:26:38, 82, 237
2023-07-08, 09:26:38, 82, 239
2023-07-08, 09:26:40, 87, 240
2023-07-08, 09:26:41, 80, 242
2023-07-08, 09:26:42, 80, 238
2023-07-08, 09:26:43, 80, 238
2023-07-08, 09:26:44, 82, 248
2023-07-08, 09:26:45, 81, 243
2023-07-08, 09:26:46, 79, 240
2023-07-08, 09:26:47, 83, 239
2023-07-08, 09:26:48, 82, 237
2023-07-08, 09:26:49, 81, 237
2023-07-08, 09:26:50, 82, 238
2023-07-08, 09:26:51, 81, 238
2023-07-08, 09:26:52, 83, 238
2023-07-08, 09:26:53, 80, 238
2023-07-08, 09:26:54, 80, 237
2023-07-08, 09:26:55, 80, 238
2023-07-08, 09:26:56, 80, 239
2023-07-08, 09:26:57, 80, 239
2023-07-08, 09:26:58, 149, 304
2023-07-08, 09:26:59, 81, 238
2023-07-08, 09:27:00, 81, 241
2023-07-08, 09:27:01, 179, 338
2023-07-08, 09:27:02, 94, 256
2023-07-08, 09:27:03, 82, 239
2023-07-08, 09:27:04, 84, 238
2023-07-08, 09:27:05, 93, 253
2023-07-08, 09:27:06, 81, 238
2023-07-08, 09:27:08, 80, 238
2023-07-08, 09:27:09, 89, 240
2023-07-08, 09:27:10, 82, 240
2023-07-08, 09:27:11, 81, 240
2023-07-08, 09:27:12, 82, 238
2023-07-08, 09:27:13, 82, 238
2023-07-08, 09:27:14, 81, 238
2023-07-08, 09:27:15, 81, 238
2023-07-08, 09:27:16, 81, 251
2023-07-08, 09:27:17, 81, 241
2023-07-08, 09:27:18, 81, 240
2023-07-08, 09:27:19, 84, 239
2023-07-08, 09:27:20, 83, 240
2023-07-08, 09:27:21, 81, 240
2023-07-08, 09:27:22, 85, 239
2023-07-08, 09:27:23, 80, 240
2023-07-08, 09:27:24, 80, 241
2023-07-08, 09:27:25, 82, 242
2023-07-08, 09:27:26, 83, 237
2023-07-08, 09:27:27, 80, 238
2023-07-08, 09:27:28, 81, 238
2023-07-08, 09:27:29, 82, 239
2023-07-08, 09:27:30, 82, 239
2023-07-08, 09:27:31, 80, 238
2023-07-08, 09:27:32, 81, 237
2023-07-08, 09:27:33, 80, 238
2023-07-08, 09:27:35, 82, 238
2023-07-08, 09:27:36, 97, 237
2023-07-08, 09:27:37, 80, 251
2023-07-08, 09:27:38, 83, 245
2023-07-08, 09:27:39, 80, 240
2023-07-08, 09:27:40, 81, 241
2023-07-08, 09:27:41, 84, 248
2023-07-08, 09:27:42, 83, 241
2023-07-08, 09:27:43, 83, 238
2023-07-08, 09:27:44, 84, 239
2023-07-08, 09:27:45, 79, 240
2023-07-08, 09:27:46, 83, 239
2023-07-08, 09:27:47, 81, 241
2023-07-08, 09:27:48, 82, 241
2023-07-08, 09:27:49, 80, 240
2023-07-08, 09:27:50, 79, 239
2023-07-08, 09:27:51, 80, 239
2023-07-08, 09:27:52, 83, 238
2023-07-08, 09:27:53, 82, 238
2023-07-08, 09:27:54, 84, 239
2023-07-08, 09:27:55, 80, 240
2023-07-08, 09:27:56, 80, 241
2023-07-08, 09:27:58, 81, 240
2023-07-08, 09:27:59, 92, 241
2023-07-08, 09:28:00, 80, 239
2023-07-08, 09:28:01, 80, 238
2023-07-08, 09:28:02, 82, 240
2023-07-08, 09:28:03, 80, 241
2023-07-08, 09:28:04, 82, 238
2023-07-08, 09:28:05, 82, 241
2023-07-08, 09:28:06, 82, 238
2023-07-08, 09:28:07, 80, 241
2023-07-08, 09:28:08, 82, 237
2023-07-08, 09:28:09, 80, 242
2023-07-08, 09:28:10, 84, 239
2023-07-08, 09:28:11, 80, 241
2023-07-08, 09:28:12, 81, 239
2023-07-08, 09:28:13, 175, 331
2023-07-08, 09:28:14, 224, 381
2023-07-08, 09:28:15, 81, 238
2023-07-08, 09:28:16, 87, 241
2023-07-08, 09:28:17, 83, 239
2023-07-08, 09:28:18, 80, 243
2023-07-08, 09:28:20, 95, 238
2023-07-08, 09:28:21, 96, 242
2023-07-08, 09:28:22, 82, 252
2023-07-08, 09:28:23, 81, 239
2023-07-08, 09:28:24, 83, 239
2023-07-08, 09:28:25, 87, 237
2023-07-08, 09:28:26, 84, 240
2023-07-08, 09:28:27, 80, 249
2023-07-08, 09:28:28, 83, 246
2023-07-08, 09:28:29, 80, 240
2023-07-08, 09:28:30, 81, 237
2023-07-08, 09:28:31, 80, 238
2023-07-08, 09:28:32, 83, 240
2023-07-08, 09:28:33, 81, 238
2023-07-08, 09:28:34, 81, 240
2023-07-08, 09:28:35, 81, 241
2023-07-08, 09:28:36, 79, 240
2023-07-08, 09:28:37, 83, 238
2023-07-08, 09:28:38, 79, 240
2023-07-08, 09:28:39, 79, 238
2023-07-08, 09:28:40, 81, 239
2023-07-08, 09:28:41, 80, 241
2023-07-08, 09:28:42, 80, 239
2023-07-08, 09:28:43, 83, 238
2023-07-08, 09:28:44, 81, 238
2023-07-08, 09:28:46, 91, 237
2023-07-08, 09:28:47, 82, 252
2023-07-08, 09:28:48, 82, 240
2023-07-08, 09:28:49, 81, 241
2023-07-08, 09:28:50, 80, 240
2023-07-08, 09:28:51, 85, 238
2023-07-08, 09:28:52, 80, 253
2023-07-08, 09:28:53, 79, 247
2023-07-08, 09:28:54, 79, 246
2023-07-08, 09:28:55, 80, 238
2023-07-08, 09:28:56, 78, 238
2023-07-08, 09:28:57, 79, 237
2023-07-08, 09:28:58, 80, 242
2023-07-08, 09:28:59, 80, 237
2023-07-08, 09:29:00, 80, 241
2023-07-08, 09:29:01, 81, 239
2023-07-08, 09:29:02, 82, 237
2023-07-08, 09:29:03, 80, 238
2023-07-08, 09:29:04, 82, 237
2023-07-08, 09:29:05, 81, 238
2023-07-08, 09:29:06, 82, 237
2023-07-08, 09:29:07, 80, 241
2023-07-08, 09:29:08, 80, 238
2023-07-08, 09:29:09, 80, 239
2023-07-08, 09:29:10, 80, 241
2023-07-08, 09:29:11, 81, 240
2023-07-08, 09:29:12, 81, 238
2023-07-08, 09:29:14, 92, 238
2023-07-08, 09:29:15, 81, 238
2023-07-08, 09:29:16, 83, 237
2023-07-08, 09:29:17, 83, 237
2023-07-08, 09:29:18, 83, 238
2023-07-08, 09:29:19, 84, 239
2023-07-08, 09:29:20, 82, 236
2023-07-08, 09:29:21, 116, 275
2023-07-08, 09:29:22, 84, 239
2023-07-08, 09:29:23, 80, 241
2023-07-08, 09:29:24, 83, 240
2023-07-08, 09:29:25, 78, 241
2023-07-08, 09:29:26, 83, 238
2023-07-08, 09:29:27, 81, 241
2023-07-08, 09:29:28, 81, 241
2023-07-08, 09:29:29, 80, 239
2023-07-08, 09:29:30, 82, 237
2023-07-08, 09:29:31, 83, 239
2023-07-08, 09:29:32, 81, 241
2023-07-08, 09:29:33, 80, 237
2023-07-08, 09:29:34, 83, 238
2023-07-08, 09:29:35, 82, 241
2023-07-08, 09:29:36, 84, 238
2023-07-08, 09:29:38, 90, 239
2023-07-08, 09:29:39, 84, 238
2023-07-08, 09:29:40, 80, 238
2023-07-08, 09:29:41, 82, 240
2023-07-08, 09:29:42, 81, 238
2023-07-08, 09:29:43, 82, 243
2023-07-08, 09:29:44, 83, 240
2023-07-08, 09:29:45, 86, 239
2023-07-08, 09:29:46, 79, 239
2023-07-08, 09:29:47, 83, 239
2023-07-08, 09:29:48, 82, 240
2023-07-08, 09:29:49, 83, 239
2023-07-08, 09:29:50, 81, 240
2023-07-08, 09:29:51, 83, 239
2023-07-08, 09:29:52, 84, 238
2023-07-08, 09:29:53, 81, 240
2023-07-08, 09:29:54, 79, 241
2023-07-08, 09:29:55, 82, 238
2023-07-08, 09:29:56, 81, 238
2023-07-08, 09:29:58, 87, 239
2023-07-08, 09:29:59, 87, 238
2023-07-08, 09:30:00, 80, 238
2023-07-08, 09:30:01, 80, 238
2023-07-08, 09:30:02, 80, 239
2023-07-08, 09:30:03, 82, 238
2023-07-08, 09:30:04, 81, 239
2023-07-08, 09:30:05, 83, 239
2023-07-08, 09:30:06, 84, 238
2023-07-08, 09:30:07, 81, 239
2023-07-08, 09:30:08, 84, 241
2023-07-08, 09:30:09, 81, 238
2023-07-08, 09:30:10, 81, 238
2023-07-08, 09:30:11, 81, 239
2023-07-08, 09:30:12, 80, 238
