date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 13:35:16, 98, 255
2023-07-08, 13:35:17, 88, 250
2023-07-08, 13:35:18, 83, 242
2023-07-08, 13:35:19, 94, 243
2023-07-08, 13:35:20, 106, 243
2023-07-08, 13:35:21, 84, 240
2023-07-08, 13:35:22, 84, 243
2023-07-08, 13:35:23, 89, 241
2023-07-08, 13:35:25, 81, 258
2023-07-08, 13:35:26, 116, 0
2023-07-08, 13:35:27, 80, 242
2023-07-08, 13:35:28, 89, 251
2023-07-08, 13:35:29, 194, 365
2023-07-08, 13:35:30, 372, 446
2023-07-08, 13:35:31, 85, 243
2023-07-08, 13:35:32, 84, 256
2023-07-08, 13:35:33, 135, 303
2023-07-08, 13:35:34, 81, 251
2023-07-08, 13:35:35, 81, 245
2023-07-08, 13:35:36, 80, 240
2023-07-08, 13:35:37, 80, 241
2023-07-08, 13:35:38, 82, 240
2023-07-08, 13:35:39, 80, 243
2023-07-08, 13:35:40, 81, 248
2023-07-08, 13:35:41, 102, 263
2023-07-08, 13:35:42, 80, 240
2023-07-08, 13:35:44, 0, 0
2023-07-08, 13:35:44, 92, 266
2023-07-08, 13:35:45, 81, 242
2023-07-08, 13:35:46, 81, 241
2023-07-08, 13:35:47, 82, 243
2023-07-08, 13:35:48, 80, 241
2023-07-08, 13:35:49, 84, 248
2023-07-08, 13:35:50, 82, 251
2023-07-08, 13:35:51, 83, 240
2023-07-08, 13:35:52, 79, 241
2023-07-08, 13:35:53, 83, 251
2023-07-08, 13:35:54, 83, 260
2023-07-08, 13:35:55, 81, 242
2023-07-08, 13:35:56, 82, 243
2023-07-08, 13:35:57, 80, 244
2023-07-08, 13:35:58, 80, 242
2023-07-08, 13:35:59, 80, 243
2023-07-08, 13:36:00, 82, 241
2023-07-08, 13:36:01, 81, 242
2023-07-08, 13:36:02, 83, 244
2023-07-08, 13:36:03, 105, 268
2023-07-08, 13:36:05, 137, 319
2023-07-08, 13:36:05, 89, 242
2023-07-08, 13:36:07, 81, 248
2023-07-08, 13:36:08, 84, 247
2023-07-08, 13:36:09, 80, 249
2023-07-08, 13:36:10, 83, 245
2023-07-08, 13:36:11, 108, 267
2023-07-08, 13:36:12, 79, 243
2023-07-08, 13:36:13, 83, 241
2023-07-08, 13:36:14, 137, 292
2023-07-08, 13:36:15, 124, 254
2023-07-08, 13:36:16, 96, 257
2023-07-08, 13:36:17, 80, 243
2023-07-08, 13:36:18, 93, 249
2023-07-08, 13:36:20, 279, 0
2023-07-08, 13:36:20, 98, 258
2023-07-08, 13:36:21, 81, 242
2023-07-08, 13:36:22, 94, 252
