date, time, 1.1.1.1, 64.98.135.91
2023-07-08, 16:15:57, 81, 233
2023-07-08, 16:15:58, 83, 236
2023-07-08, 16:16:00, 80, 233
2023-07-08, 16:16:01, 80, 236
2023-07-08, 16:16:02, 80, 233
2023-07-08, 16:16:03, 80, 248
2023-07-08, 16:16:04, 82, 236
2023-07-08, 16:16:05, 106, 233
2023-07-08, 16:16:06, 112, 234
2023-07-08, 16:16:07, 106, 234
2023-07-08, 16:16:08, 95, 234
2023-07-08, 16:16:09, 93, 234
2023-07-08, 16:16:10, 101, 239
2023-07-08, 16:16:11, 87, 233
2023-07-08, 16:16:12, 82, 237
2023-07-08, 16:16:13, 81, 232
2023-07-08, 16:16:14, 174, 329
2023-07-08, 16:16:15, 80, 234
2023-07-08, 16:16:16, 82, 232
2023-07-08, 16:16:17, 79, 237
2023-07-08, 16:16:18, 81, 234
2023-07-08, 16:16:19, 86, 238
2023-07-08, 16:16:20, 79, 233
2023-07-08, 16:16:21, 80, 236
2023-07-08, 16:16:22, 113, 249
2023-07-08, 16:16:23, 110, 235
2023-07-08, 16:16:24, 103, 235
2023-07-08, 16:16:26, 93, 0
2023-07-08, 16:16:26, 85, 235
2023-07-08, 16:16:27, 82, 234
2023-07-08, 16:16:28, 82, 239
2023-07-08, 16:16:29, 82, 233
2023-07-08, 16:16:30, 135, 288
2023-07-08, 16:16:31, 84, 238
2023-07-08, 16:16:32, 83, 236
2023-07-08, 16:16:33, 80, 235
2023-07-08, 16:16:34, 80, 236
2023-07-08, 16:16:36, 81, 0
2023-07-08, 16:16:36, 80, 234
2023-07-08, 16:16:37, 85, 236
2023-07-08, 16:16:38, 81, 236
2023-07-08, 16:16:39, 80, 235
2023-07-08, 16:16:41, 80, 0
2023-07-08, 16:16:42, 80, 235
2023-07-08, 16:16:43, 82, 232
2023-07-08, 16:16:44, 81, 234
2023-07-08, 16:16:45, 78, 235
2023-07-08, 16:16:46, 84, 238
2023-07-08, 16:16:47, 105, 234
2023-07-08, 16:16:48, 96, 233
2023-07-08, 16:16:49, 81, 234
2023-07-08, 16:16:50, 82, 238
2023-07-08, 16:16:51, 83, 234
2023-07-08, 16:16:52, 79, 236
2023-07-08, 16:16:53, 82, 235
2023-07-08, 16:16:54, 110, 234
2023-07-08, 16:16:55, 105, 235
2023-07-08, 16:16:56, 102, 236
2023-07-08, 16:16:58, 86, 0
2023-07-08, 16:16:58, 80, 238
2023-07-08, 16:16:59, 81, 238
2023-07-08, 16:17:00, 80, 237
2023-07-08, 16:17:01, 81, 240
2023-07-08, 16:17:02, 83, 237
2023-07-08, 16:17:03, 82, 237
2023-07-08, 16:17:04, 83, 237
2023-07-08, 16:17:05, 83, 235
2023-07-08, 16:17:06, 82, 235
2023-07-08, 16:17:07, 82, 237
2023-07-08, 16:17:08, 82, 235
2023-07-08, 16:17:09, 81, 238
2023-07-08, 16:17:10, 82, 241
2023-07-08, 16:17:11, 83, 237
2023-07-08, 16:17:12, 82, 245
2023-07-08, 16:17:13, 80, 240
2023-07-08, 16:17:15, 83, 236
